Case ID,Cluster,ICS Score
2008-P-0100,3,1420.31771514
2008-P-1000,2,956.798285927
2008-P-1001,3,1434.58819919
2008-P-1005,3,1415.5972651
2008-P-1009,3,1398.87347023
2008-P-0101,3,1421.05344724
2008-P-1011,3,1377.63360231
2008-P-1013,3,1410.34542662
2008-P-1016,3,1432.01985071
2008-P-1020,3,1247.9352344
2008-P-1025,3,1399.36211155
2008-P-1032,3,1419.24086904
2008-P-1033,3,1294.2126168
2008-P-1035,3,1433.99203906
2008-P-1036,3,1372.4644401
2008-P-1037,2,916.901353911
2008-P-1038,3,1336.55848776
2008-P-1039,2,920.197419994
2008-P-1040,3,1403.09506513
2008-P-1041,3,1345.09184298
2008-P-1042,2,954.884897449
2008-P-1044,3,1345.35983875
2008-P-1045,3,1410.6356507
2008-P-1047,2,947.037473232
2008-P-1049,3,1417.34441232
2008-P-1050,3,1395.24354601
2008-P-1056,3,1228.45034327
2008-P-1057,3,1405.15798277
2008-P-1058,3,1436.524569
2008-P-1059,3,1318.90466815
2008-P-0106,3,1395.40187179
2008-P-1061,3,1386.05487975
2008-P-1063,3,1422.28334196
2008-P-1069,3,1322.48493569
2008-P-1075,3,1420.36888175
2008-P-1076,3,1368.64591927
2008-P-1078,3,1346.19155811
2008-P-1080,3,1341.41517395
2008-P-1081,3,1434.71790671
2008-P-1082,3,1362.88136061
2008-P-1084,2,947.597426939
2008-P-1092,3,1317.03104495
2008-P-1094,2,936.107765471
2008-P-1095,3,1343.80291841
2008-P-0011,2,847.685404801
2008-P-1103,3,1336.33080158
2008-P-1104,3,1315.81755013
2008-P-1105,3,1418.29278831
2008-P-1109,3,1367.7242775
2008-P-1112,3,1394.6173202
2008-P-1115,3,1386.38097453
2008-P-1116,3,1395.79308491
2008-P-1118,3,1319.7453511
2008-P-1120,3,1423.71847988
2008-P-1133,3,1432.71815237
2008-P-0114,3,1405.90170862
2008-P-1140,3,1418.93805626
2008-P-1141,2,954.694117425
2008-P-1144,3,1407.80165407
2008-P-1145,3,1417.99931612
2008-P-1148,3,1165.35489647
2008-P-0115,3,1382.03602098
2008-P-1154,3,1412.31837032
2008-P-1157,3,1421.72496707
2008-P-1158,3,1377.36084181
2008-P-1159,3,1426.81264532
2008-P-0116,2,943.76828263
2008-P-1161,3,1394.86977029
2008-P-1167,2,887.757844817
2008-P-1168,3,1398.76279499
2008-P-1169,2,953.159460677
2008-P-0117,3,1425.55134361
2008-P-1170,3,1392.37814009
2008-P-1174,3,1420.16829272
2008-P-1175,3,1418.18728939
2008-P-1176,3,1423.84568535
2008-P-1177,3,1401.52877906
2008-P-1178,3,1415.44390934
2008-P-1179,3,1390.31282244
2008-P-0118,3,1428.18151058
2008-P-1180,3,1403.78968672
2008-P-1181,3,1420.01378094
2008-P-1183,3,1387.2812316
2008-P-1184,3,1358.165207
2008-P-1185,3,1421.37988686
2008-P-1186,3,1407.09190256
2008-P-1187,3,1344.48382118
2008-P-1189,3,1330.0117855
2008-P-1190,3,1432.67312631
2008-P-1191,3,1414.36664602
2008-P-1192,3,1423.51593358
2008-P-1194,3,1366.39570001
2008-P-1195,3,1313.71421
2008-P-0120,2,939.509906119
2008-P-1200,3,1425.9747369
2008-P-1204,3,1352.02675326
2008-P-1205,2,931.02333983
2008-P-1206,3,1426.65037392
2008-P-1208,3,1265.16192215
2008-P-1209,3,1407.34081441
2008-P-1210,3,1412.58857843
2008-P-1216,3,1425.45712303
2008-P-1217,3,1365.4686183
2008-P-1218,2,940.334932943
2008-P-1219,3,1423.26611263
2008-P-0122,3,1425.60315627
2008-P-1220,2,935.106916078
2008-P-1221,3,1424.26369766
2008-P-1226,3,1338.8269387
2008-P-1230,3,1403.66782746
2008-P-1233,3,1395.60452427
2008-P-1239,3,1149.00291777
2008-P-1241,3,1396.94236855
2008-P-1242,3,1398.34761455
2008-P-1243,3,1417.87352367
2008-P-1244,3,1402.25502056
2008-P-1246,3,1421.25187312
2008-P-1247,3,1405.11246027
2008-P-1249,3,1385.97325077
2008-P-1251,2,932.825149483
2008-P-1252,3,1416.7701363
2008-P-1256,3,1388.5498552
2008-P-1257,3,1369.74158753
2008-P-1258,3,1385.26574847
2008-P-1259,3,1426.043498
2008-P-1264,3,1340.08512269
2008-P-1265,3,1387.64729178
2008-P-1266,3,1351.95286606
2008-P-1269,3,1362.36898053
2008-P-1270,3,1415.71499192
2008-P-1273,3,1361.90345254
2008-P-1278,3,1428.49358764
2008-P-1279,3,1379.95745282
2008-P-0128,3,1406.35485565
2008-P-1281,3,1398.17854028
2008-P-1282,3,1342.96195198
2008-P-1283,3,1435.76906764
2008-P-1284,3,1409.05813238
2008-P-0129,3,1319.15305837
2008-P-1293,3,1420.33867008
2008-P-1294,3,1363.46232468
2008-P-1295,3,1396.6838433
2008-P-1296,3,1416.69315274
2008-P-1299,3,1414.83151134
2008-P-1308,3,1404.05334433
2008-P-1309,3,1397.732162
2008-P-0131,3,1423.24544903
2008-P-1310,3,1414.89707261
2008-P-1311,3,1414.93143217
2008-P-1312,3,1427.64536031
2008-P-1317,3,1417.3516674
2008-P-1319,3,1375.69498281
2008-P-0132,3,1347.14176235
2008-P-1320,3,1355.43702355
2008-P-1321,2,948.704204364
2008-P-1322,3,1410.67773143
2008-P-1323,3,1429.98576213
2008-P-1325,3,1408.64272148
2008-P-0133,2,928.394120324
2008-P-1332,3,1406.79011978
2008-P-1337,3,1110.27497442
2008-P-1338,3,1171.36865286
2008-P-1339,2,898.047559094
2008-P-1340,3,1410.41332355
2008-P-1349,3,1365.49635162
2008-P-0135,3,1374.46699981
2008-P-1350,3,1425.79937933
2008-P-1357,3,1367.32109515
2008-P-1358,3,1224.09496564
2008-P-1360,3,1200.79850872
2008-P-1363,2,925.374579708
2008-P-1378,2,845.715825202
2008-P-1380,3,1431.05337282
2008-P-1388,3,1352.45089201
2008-P-1389,2,935.789330424
2008-P-1390,3,1402.9977824
2008-P-1391,3,1311.73470632
2008-P-0014,3,1409.08214566
2008-P-1402,3,1357.7853503
2008-P-1408,3,1397.18968588
2008-P-1409,2,950.298074715
2008-P-1410,3,1427.86209363
2008-P-1412,3,1387.82433104
2008-P-1413,2,913.010085225
2008-P-1414,3,1399.05582323
2008-P-1415,3,1385.14128116
2008-P-1419,3,1409.48245232
2008-P-1430,3,1408.47805204
2008-P-1431,3,1408.35069545
2008-P-1432,3,1429.95501615
2008-P-1436,3,1421.29235264
2008-P-1440,3,1432.35407549
2008-P-1441,3,1068.82781908
2008-P-1442,3,1371.13845228
2008-P-1445,3,1432.69516628
2008-P-1448,3,1377.03065198
2008-P-1450,3,1383.73435663
2008-P-1453,3,1353.57463642
2008-P-1458,3,1397.36652572
2008-P-1463,3,1390.34681619
2008-P-1465,3,1410.28285425
2008-P-1474,3,1364.88926025
2008-P-1475,3,1363.73199557
2008-P-1476,3,1413.30990864
2008-P-1480,3,1349.31267875
2008-P-1481,3,1373.26283268
2008-P-1482,3,1369.8061535
2008-P-1496,3,1308.13137471
2008-P-1497,3,1321.95657326
2008-P-0015,3,1431.34987668
2008-P-1502,3,1429.28535399
2008-P-1504,3,1289.86544382
2008-P-1507,3,1400.96740191
2008-P-1508,3,1424.87090349
2008-P-1509,3,1389.24852046
2008-P-1510,3,1399.93877802
2008-P-1511,3,1363.44390411
2008-P-1512,3,1407.73675172
2008-P-1513,3,1366.87880096
2008-P-1514,3,1179.54234021
2008-P-1521,3,1416.2065356
2008-P-1523,3,1373.74814531
2008-P-1526,3,1348.96375971
2008-P-1532,3,1381.30806758
2008-P-1539,3,1409.58064759
2008-P-0154,3,1412.20054501
2008-P-1540,3,1401.19905993
2008-P-1544,2,966.959722079
2008-P-1545,3,1405.5903358
2008-P-1547,2,964.705406282
2008-P-1549,2,921.329075195
2008-P-0155,3,1389.92958016
2008-P-1555,3,1410.01906336
2008-P-0156,3,1427.22714812
2008-P-1560,3,1332.13624131
2008-P-1562,3,1422.15131988
2008-P-1563,3,1430.30758894
2008-P-1565,3,1063.88207863
2008-P-1567,2,867.67669847
2008-P-1571,3,1206.92830037
2008-P-1577,3,1417.20619976
2008-P-0158,3,1416.78210365
2008-P-1580,3,1415.03886897
2008-P-1581,3,1380.02781846
2008-P-1582,3,1271.29199292
2008-P-1583,3,1415.84060464
2008-P-1589,3,1384.66621625
2008-P-1590,3,1428.39234145
2008-P-1591,3,1393.05037533
2008-P-1592,2,936.891263933
2008-P-1594,3,1082.94053395
2008-P-1596,3,1413.58731892
2008-P-1597,3,1403.90143385
2008-P-1600,3,1389.66988018
2008-P-1601,3,1409.79055664
2008-P-1602,3,1402.07236046
2008-P-1604,3,1376.07302257
2008-P-1605,2,896.487129396
2008-P-1608,3,1305.25814866
2008-P-1609,3,1418.46667235
2008-P-0161,3,1422.58733911
2008-P-1611,3,1194.47992042
2008-P-1612,3,1431.03909126
2008-P-1614,3,1388.85574338
2008-P-1616,3,1425.32662825
2008-P-1617,3,1310.72096034
2008-P-1619,2,944.722425249
2008-P-0162,3,1435.7759824
2008-P-1620,3,1211.35498993
2008-P-1622,3,1431.59330939
2008-P-1623,3,1422.0114539
2008-P-1624,3,1367.92176693
2008-P-1626,3,1416.90974174
2008-P-1627,2,953.05211763
2008-P-1628,3,1420.51987989
2008-P-1633,3,1397.53199177
2008-P-1634,3,1401.16249978
2008-P-1635,2,863.47006073
2008-P-0164,3,1388.08035594
2008-P-1644,3,1401.72908627
2008-P-1646,3,1418.95576655
2008-P-1651,3,1434.94224924
2008-P-1655,3,1367.74448287
2008-P-1658,3,1405.65043441
2008-P-1660,3,1378.45469551
2008-P-1661,3,1426.4650813
2008-P-1662,3,1401.00296898
2008-P-1666,3,1424.07401381
2008-P-1668,3,1433.29182788
2008-P-1669,3,1409.25036897
2008-P-1671,3,1397.68323295
2008-P-1672,3,1412.06664458
2008-P-1673,3,1341.36501856
2008-P-1675,3,1350.27327773
2008-P-1676,3,1430.50681467
2008-P-1677,3,1366.16068181
2008-P-1680,3,1417.56731434
2008-P-1681,3,1354.75493718
2008-P-1682,3,1421.1670596
2008-P-1683,3,1429.40356551
2008-P-1684,3,1393.61431149
2008-P-1685,2,967.707205206
2008-P-1687,3,1343.84103446
2008-P-1691,3,1430.01590178
2008-P-1693,2,940.51431905
2008-P-1698,2,923.8431741
2008-P-0170,2,950.625281554
2008-P-1701,2,799.537064738
2008-P-1705,3,1413.25369503
2008-P-1707,2,956.771818915
2008-P-0171,3,1424.16184276
2008-P-1716,3,1428.16082132
2008-P-1724,3,1411.07129841
2008-P-1725,3,1391.42837201
2008-P-1729,3,1419.80088718
2008-P-1730,3,1185.14072549
2008-P-1734,3,1342.61902917
2008-P-1735,3,1403.78905134
2008-P-0174,3,1318.58029912
2008-P-1741,3,1433.89553307
2008-P-1742,3,1275.9161652
2008-P-1744,3,1407.02640802
2008-P-1745,2,950.388738996
2008-P-1753,3,1428.03303222
2008-P-1757,3,1433.22510898
2008-P-1758,3,1387.79411737
2008-P-1759,3,1138.67121861
2008-P-1770,3,1424.90853583
2008-P-1772,3,1145.84324579
2008-P-1774,3,1426.98544187
2008-P-1775,3,1065.35026577
2008-P-1776,3,1412.31489278
